Authors;Abstract Title;Permalink DBLP;Google Scholar Cluster;Google Scholar Citations (as of 15 Feb 2020);Format
Fotis Jannidis, Isabella Reger, Markus Krug, Lukas Weimer, Luisa Macharowsky, Frank Puppe;Comparison of Methods for the Identification of Main Characters in German Novels;https://dblp.org/rec/conf/dihu/JannidisRKWMP16;https://scholar.google.com/scholar?cluster=1541757619442963302;8;Short Paper
Eun Seo Jo;Diplomatic History by Data;https://dblp.org/rec/conf/dihu/Jo16;https://scholar.google.com/scholar?cluster=11032952423408056984;3;Short Paper
Max Kemman;Trading Zones of Digital History;https://dblp.org/rec/conf/dihu/Kemman16;https://scholar.google.com/scholar?cluster=13590164869046783817;1;Short Paper
Fahad Khan, Francesca Frontini, Federico Boschetti, Monica Monachini;Converting the Liddell Scott Greek-English Lexicon into Linked Open Data using lemon;https://dblp.org/rec/conf/dihu/KhanFBM16;https://scholar.google.com/scholar?cluster=17882901537315793857;6;Short Paper
Inna Kizhner, Melissa Terras, Maxim Rumyantsev;Museum Digitization Practices Across Russia: Survey and Web Site Exploration Results;https://dblp.org/rec/conf/dihu/KizhnerTR16;https://scholar.google.com/scholar?cluster=3917626721406612296;3;Short Paper
Thomas Köntges;Researchers to your Driving Seats: Building a Graphical User Interface for Multilingual Topic-Modelling in R with Shiny;https://dblp.org/rec/conf/dihu/Kontges16;https://scholar.google.com/scholar?cluster=18196797028702879742;1;Short Paper
Sergey Kornienko, Dinara Gagarina;The First World War in Perm Provincial Periodicals;https://dblp.org/rec/conf/dihu/KornienkoG16;https://scholar.google.com/scholar?cluster=14387343523322762782;3;Short Paper
Anouk Lang, Robyn Pritzker;All in the Family: Testing Burrows' Delta on Robert Louis Stevenson's Collaboratively Authored Volumes The Dynamiter and The Wrecker;https://dblp.org/rec/conf/dihu/LangP16;https://scholar.google.com/scholar?cluster=14936603949656930577;1;Short Paper
Maciej Maryl, Piotr Wcislik;Remediations of Polish Literary Bibliography: Towards a Lossless and Sustainable Retro-Conversion Model for Bibliographical Data;https://dblp.org/rec/conf/dihu/MarylW16;https://scholar.google.com/scholar?cluster=17187902182514404820;3;Short Paper
Nora McGregor, Mia Ridge, Stella Wisdom, Aquiles Alancar-Brayner;The Digital Scholarship Training Programme at British Library: Concluding Report & Future Developments;https://dblp.org/rec/conf/dihu/McGregorRWA16;https://scholar.google.com/scholar?cluster=13075599907709896320;1;Short Paper
Giovanni Moretti, Sara Tonelli, Stefano Menini;Building Large Persons' Networks to Explore Digital Corpora;https://dblp.org/rec/conf/dihu/MorettiTM16;https://scholar.google.com/scholar?cluster=4156553450671274665;1;Short Paper
Federico Nanni, Pablo Ruiz Fabo;Entities as topic labels: improving topic interpretability and evaluability combining Entity Linking and Labeled LDA;https://dblp.org/rec/conf/dihu/NanniF16;https://scholar.google.com/scholar?cluster=6365131429834412760;6;Short Paper
Frederike Neuber;Stefan George Digital: Exploring Typography In A Digital Scholarly Edition;https://dblp.org/rec/conf/dihu/Neuber16;https://scholar.google.com/scholar?cluster=722216524789408646;1;Short Paper
